name,Occurrence,order,Main page,Store Link,Accessible,Multiplayer,Social,Creator,HMD,Origin,Store,Price,Number of Reviews,Temp_reviews_no_n/a,Normalized reviews,Web Visitor Count,Normalized visitors,Z-score,Order_formula,Main Focus,Online Count,Rating,summary,Download Count,#Player in the Most Popular Room,Platform Type,Platform availability,Hints for room creation,Room creation,Room creation detailed,Official Creator Documentation Main Page,Official First Step Guide,Unofficial Tutorials,Creator Description,Main Page Web Metric,Monthly Active Users,Events,Scholar Articles
Racket Club,First,54,https://www.meta.com/en-gb/experiences/racket-club/6022041731249559/,https://www.meta.com/en-gb/experiences/racket-club/6022041731249559/,Yes,No,,,,quest_query_data_social,Quest,24.99,599,,,,,,,,,90,"Racket Club kombiniert Tennis und Padel, um eine neue Schl&#xe4;gersportart f&#xfc;r VR zu schaffen. Treten Sie dem Club bei und spielen Sie den Ball!",,,,,,,,,,,,,,,
Survival Nation,First,55,https://www.meta.com/en-gb/experiences/survival-nation/6198564290223186/,https://www.meta.com/en-gb/experiences/survival-nation/6198564290223186/,Yes,No,,,,quest_query_data_social,Quest,29.99,625,,,,,,,,,82,"Survival Nation is an open-world online RPG survival game designed for VR. In this game, you will kill hundreds of zombies, acquire weapons, learn new skills, craft, explore the world, complete quests, and most importantly, fight for survival. Will you join a Survival Nation?",,,,,,,,,,,,,,,
Joyverse,First,56,https://www.meta.com/en-gb/experiences/joyverse/5547974825318365/,https://www.meta.com/en-gb/experiences/joyverse/5547974825318365/,Yes,Yes,,,,quest_query_data_social,Quest,9.99,25,,,,,,,,,72,"Design Your Room
Powered by Spacejoy, pioneers in design e-commerce, Joyverse is your gateway to groundbreaking interior design in the Oculus Store.

- Design Your Actual Space: Add furniture and decor in your own room in Mixed Reality.
- Designer Furniture: Access handpicked furniture/decor from top brands.
- AI-Driven: Learn with our AI Virtual Assistant.
- Multiplayer Creativity: Collaborate with friends to design a space.

Ready to dive into design like never before? Download Joyverse Now!",,,,,,,,,,,,,,,
Spaceteam VR,First,57,https://www.meta.com/en-gb/experiences/spaceteam-vr/2531338473623578/,https://www.meta.com/en-gb/experiences/spaceteam-vr/2531338473623578/,Yes,No,,,,quest_query_data_social,Quest,12.99,126,,,,,,,,,60,A co-op party game. Work together as a Spaceteam and figure out who should do with that flange!?,,,,,,,,,,,,,,,
MiRacle Pool,First,58,https://www.meta.com/en-gb/experiences/miracle-pool/7067612163334384/,https://www.meta.com/en-gb/experiences/miracle-pool/7067612163334384/,Yes,No,,,,quest_query_data_social,Quest,14.99,925,,,,,,,,,96,"&#x1f3b1; The Premier Pool Simulator with the most realistic ball physics and easy cue stick handling, all made for mixed reality! Game Modes include: Single Player, Multiplayer, Private Matches, Mini Games, Daily Challenges and Practice Mode. Earn XP, rank up and unlock new table designs, balls, cues and more! Play in any size room you have!",,,,,,,,,,,,,,,
OrbusVR: Reborn,First,59,https://www.meta.com/en-gb/experiences/orbusvr-reborn/2352932654734987/,https://www.meta.com/en-gb/experiences/orbusvr-reborn/2352932654734987/,Yes,No,,,,quest_query_data_social,Quest,19.99,2068,,,,,,,,,78,"With more than 100+ hours of unique content and a strong in-game community, Orbus is a VR experience like no other!

In OrbusVR, you&#x2019;ll find everything you love about an MMORPG, including:

&#x2022; 8 playable classes
&#x2022; Fishing, crafting &amp; artificing
&#x2022; Opt-in World PvP &amp; Battlegrounds
&#x2022; 5-player dungeons &amp; 10-player raids
&#x2022; Dungeon queue, group finder &amp; other social features
&#x2022; Pet dragons, player trading and more!

Immerse yourself in a world of discovery. Join the OrbusVR community today!",,,,,,,,,,,,,,,
Galaxy Kart,First,60,https://www.meta.com/en-gb/experiences/galaxy-kart/5598654356882558/,https://www.meta.com/en-gb/experiences/galaxy-kart/5598654356882558/,Yes,No,,,,quest_query_data_social,Quest,17.99,90,,,,,,,,,86,"Ein Arcade-Kart-Rennspiel, bei dem der Kampf und die Nutzung der individuellen F&#xe4;higkeiten jedes Fahrers im Mittelpunkt stehen. In einer Galaxie voller verr&#xfc;ckter Rennfahrer entscheidet eine fantastische Meisterschaft dar&#xfc;ber, wer der beste Fahrer von allen ist! Nicht nur die Rennfahrer k&#xf6;nnen auf den Strecken Waffen bekommen, jeder von ihnen verf&#xfc;gt auch &#xfc;ber individuelle F&#xe4;higkeiten!",,,,,,,,,,,,,,,
First Steps for Quest 2,First,61,https://www.meta.com/en-gb/experiences/first-steps-for-quest-2/3675568169182204/,https://www.meta.com/en-gb/experiences/first-steps-for-quest-2/3675568169182204/,Yes,No,,,,quest_query_data_social,Quest,0,1588,,,,,,,,,94,"Mache deine ersten Schritte in der VR und lerne deine Controller in dieser kurzen Erfahrung kennen, die dir die ganze Kraft von Oculus zeigt.",,,,,,,,,,,,,,,
Carly and the Reaperman,First,62,https://www.meta.com/en-gb/experiences/carly-and-the-reaperman/3285668754893704/,https://www.meta.com/en-gb/experiences/carly-and-the-reaperman/3285668754893704/,Yes,No,,,,quest_query_data_social,Quest,19.99,157,,,,,,,,,82,"Niemand kann ganz ohne Hilfe aus der Unterwelt entkommen. Schnappt euch einen Freund und rennt, springt und l&#xf6;st R&#xe4;tsel mit ihm auf dem Weg in die Freiheit in diesem preisgekr&#xf6;nten Koop-R&#xe4;tsel-Platformer!",,,,,,,,,,,,,,,
Bounce Shot,First,63,https://www.meta.com/en-gb/experiences/bounce-shot/5315620021784200/,https://www.meta.com/en-gb/experiences/bounce-shot/5315620021784200/,Yes,No,,,,quest_query_data_social,Quest,3.99,131,,,,,,,,,86,"The party never stops with Bounce Shot!!!

Clear your opponents cups first and win! Challenge your friends or make new ones, with rooms that allow up to 8 players to join. 

Bounce Shot, a version of a popular American collegiate game, can be played  1v1  or in teams of 2. Each team then takes turns attempting to throw balls into the opponent&#039;s cups. If a ball lands in a cup, the cup is removed from the table. The first team to eliminate all of the opponent&#039;s cups is the winner.",,,,,,,,,,,,,,,
Tank Arena: Ultimate League,First,64,https://www.meta.com/en-gb/experiences/tank-arena-ultimate-league/23911676798446391/,https://www.meta.com/en-gb/experiences/tank-arena-ultimate-league/23911676798446391/,Yes,No,,,,quest_query_data_social,Quest,5.99,54,,,,,,,,,82,"- Tank Arena: Ultimate League bringt aufregende Updates!
- Deathmatch-Revolution: Von Pulse Tower zu einem Deathmatch.
- Neues Lounge-Erlebnis: Steige im Ranking auf und spiele Mini-Games.
- Training Ground: Teste 8 Panzer und ihre F&#xe4;higkeiten.
- Epische Features: Bildet 4er-Teams f&#xfc;r futuristische K&#xe4;mpfe.
- Soziale Interaktion: Triff neue Freunde im Lounge und f&#xfc;ge sie hinzu.",,,,,,,,,,,,,,,
Acron: Attack of the Squirrels!,First,65,https://www.meta.com/en-gb/experiences/acron-attack-of-the-squirrels/2345082335516570/,https://www.meta.com/en-gb/experiences/acron-attack-of-the-squirrels/2345082335516570/,Yes,No,,,,quest_query_data_social,Quest,19.99,1768,,,,,,,,,92,"ACHTUNG: Es handelt sich um ein VR-Spiel mit hohem Suchtpotenzial und muss mit mindestens einer weiteren Person gespielt werden, die dem Spiel &#xfc;ber ein Mobilger&#xe4;t beitritt. Das ben&#xf6;tigte Handyspiel f&#xfc;r iOS und Android ist kostenlos.

Hast du das Zeug dazu, die goldenen Eicheln in diesem nussig-verr&#xfc;ckten Multiplayer-Partyspiel von Resolution Games zu besch&#xfc;tzen? Oder bist du eher hibbelig wie ein Eichh&#xf6;rnchen?",,,,,,,,,,,,,,,
Out of Scale: A Kurzgesagt Adventure,First,66,https://www.meta.com/en-gb/experiences/out-of-scale-a-kurzgesagt-adventure/7270665009617359/,https://www.meta.com/en-gb/experiences/out-of-scale-a-kurzgesagt-adventure/7270665009617359/,Yes,No,,,,quest_query_data_social,Quest,14.99,105,,,,,,,,,82,"Journey through 5 levels of scale ranging from molecular to mountain to clean up the aftermath of a lab test gone, well, slightly wrong. On your adventure, you&#x2019;ll be joined by STEVE, the lab&#x2019;s AI assistant, and will be the first to try out his newest invention, Shrink-o-gen. Scanning and scaling your way through the environment, you&#x2019;ll learn about the different rules that apply to each realm, and have to deal with giant ants, fungi &amp; tardigrades taking over the city.",,,,,,,,,,,,,,,
Mannequin,First,67,https://www.meta.com/en-gb/experiences/mannequin/7028027297235918/,https://www.meta.com/en-gb/experiences/mannequin/7028027297235918/,Yes,No,,,,quest_query_data_social,Quest,19.99,197,,,,,,,,,94,"Mannequin ist ein Stealth-VR-Spiel f&#xfc;r bis zu 2 gegen 3 Spieler.

Zwei Elite-Agenten jagen Mannequins: Aliens, die sich als menschliche Statuen tarnen.

Sie &#xfc;berfallen unachtsame Agenten und k&#xf6;nnen sie mit der kleinsten Ber&#xfc;hrung einfrieren lassen. Agenten nutzen daher High-Tech-Scanner, um die Mannequins zu enttarnen und zu erschie&#xdf;en. Wer ist Freund, wer ist Feind? Wer versehentlich einen Menschen trifft, kann nicht mehr schie&#xdf;en! Welches Team gewinnt das Katz-und-Maus-Spiel?",,,,,,,,,,,,,,,
Gravity League,First,68,https://www.meta.com/en-gb/experiences/gravity-league/5934280436582748/,https://www.meta.com/en-gb/experiences/gravity-league/5934280436582748/,Yes,No,,,,quest_query_data_social,Quest,0,425,,,,,,,,,86,"Welcome to the future of ball games! 

In a world where gravity is no longer a limitation, the Gravity League has become the ultimate test of skill and endurance for athletes from all corners of the galaxy.

The rules are simple: 2 players, 1 ball, zero gravity - the first player to get 11 goals wins.

So strap on your Gravity Gloves and get ready to take on the competition!",,,,,,,,,,,,,,,
Loco Dojo Unleashed,First,69,https://www.meta.com/en-gb/experiences/loco-dojo-unleashed/2097356583640894/,https://www.meta.com/en-gb/experiences/loco-dojo-unleashed/2097356583640894/,Yes,No,,,,quest_query_data_social,Quest,19.99,174,,,,,,,,,76,"Enter the whimsical wooden world of Loco Dojo &amp; step up to Grand Sensei&#x2019;s &#x2018;Table of Trials&#x2019; to pit your silliest skills against friends or strangers in this hilariously competitive multiplayer party game. Take turns to spin the wheel &amp; move your counter around the dojo&#x2019;s game board, acquiring strategic prizes &amp; launching ludicrous trials in which to compete with your rival players to prove yourself as a master of martial madness! No friends? No problem! Solo Dojo and Ten Trials Tests awaits you!",,,,,,,,,,,,,,,
Real VR Fishing,First,70,https://www.meta.com/en-gb/experiences/real-vr-fishing/2582932495064035/,https://www.meta.com/en-gb/experiences/real-vr-fishing/2582932495064035/,Yes,No,,,,quest_query_data_social,Quest,19.99,7134,,,,,,,,,92,"Real VR Fishing ist eine entspannende Angelarkade mit fantastischer Grafik und Szenerie, die du mit Freunden genie&#xdf;en kannst.

Angel, wie es dir gef&#xe4;llt! Erlebe Stippangeln oder Nervenkitzel beim Raubfischangeln. Wassertiefe und verbesserte Angelmechanik verleihen dem Spiel mehr Tiefe.",,,,,,,,,,,,,,,
Snow Wars,First,71,https://www.meta.com/en-gb/experiences/snow-wars/4886562978130328/,https://www.meta.com/en-gb/experiences/snow-wars/4886562978130328/,Yes,No,,,,quest_query_data_social,Quest,12.99,38,,,,,,,,,74,"Snow Wars VR is a multiplayer, casual VR shooter set in a charming winter landscape. Experience beautiful handcrafted graphics and wield several unique weapons, each with different mechanics. Immerse yourself in four engaging modes, each featuring unique terrain and tactical advantages. For solo enthusiasts, the game includes the challenging &quot;Defend the Portal&quot; mode. Join the snowy fun with up to 8 players!",,,,,,,,,,,,,,,
Figmin XR | Mixed Reality,First,72,https://www.meta.com/en-gb/experiences/figmin-xr-mixed-reality/6849182851823457/,https://www.meta.com/en-gb/experiences/figmin-xr-mixed-reality/6849182851823457/,Yes,Yes,,,,quest_query_data_social,Quest,19.99,143,,,,,,,,,88,"Create, Collect &amp; Play in Mixed Reality!

Figmin XR is a fun spatial computing application that lets you create your own mixed reality scenes. Multiplayer supported.",,,,,,,,,,,,,,,
First Steps,First,73,https://www.meta.com/en-gb/experiences/first-steps/1863547050392688/,https://www.meta.com/en-gb/experiences/first-steps/1863547050392688/,Yes,No,,,,quest_query_data_social,Quest,0,1003,,,,,,,,,96,"Mache deine ersten Schritte in der VR und lerne deine Controller in dieser kurzen Erfahrung kennen, die dir die ganze Kraft von Oculus zeigt.",,,,,,,,,,,,,,,
Highway Madness,First,78,,https://store.steampowered.com/app/735460/Highway_Madness/?snr=1_7_7_151_150_2,,No,,,,steam_query_data_vr_multiplayer,Steam,,46,,,,,,,,,69%,,,,,,,,,,,,,,,,
InnerWorld,,65,https://www.inner.world/home/,https://www.meta.com/en-gb/experiences/5406767536033508/,Yes,,,,Yes,Google search,Meta,Free,,,,,,,,,,,,,,,,,,,,,,,,,,
ForeVR Darts,First,76,https://www.meta.com/en-gb/experiences/forevr-darts/3831620133609128/,https://www.meta.com/en-gb/experiences/forevr-darts/3831620133609128/,Yes,No,,,,quest_query_data_social,Quest,9.99,592,,,,,,,,,80,"Alle deine Lieblings-Darts-Spiele: 01 Series, Double-Out 01 Series, Count-Up und Cricket!

Alle k&#xf6;nnen mitspielen &#x2013; leichte und mittlere Zielassistenten helfen beim Werfen! Auf &#x201e;Schwierig&#x201c; k&#xf6;nnen Profis Darts in VR auf realistische Weise erleben!

+ 4 Hallen
+ 65 Dartpfeile
+ 3-stufiger Zielassistent
+ 5 herausforderbare Profi-NSC in jeder Halle
+ YouTube-Jukebox
+ Reihum-Spiel

Erlebe die vollendete Handverfolgungs-Technologie von Oculus im besten Spiel, das mit H&#xe4;nden gespielt wird: Darts!",,,,,,,,,,,,,,,
MarineVerse Cup,First,77,https://www.meta.com/en-gb/experiences/marineverse-cup/2465388190184288/,https://www.meta.com/en-gb/experiences/marineverse-cup/2465388190184288/,Yes,No,,,,quest_query_data_social,Quest,19.99,177,,,,,,,,,88,"Try sailing, learn &amp; race in iconic sailing locations. Master various sailboats.

Join a vibrant community and connect with fellow sailors.

MarineVerse Cup is crafted for simulation enthusiasts. Start with a Dinghy and progress to a Yacht.

When you are ready, test your skills in a competitive setting.

After the race, unwind in Free Sailing mode and watch a sunset in VR.

Happy Sailing!",,,,,,,,,,,,,,,
GOLF+,First,78,https://www.meta.com/en-gb/experiences/golf/2412327085529357/,https://www.meta.com/en-gb/experiences/golf/2412327085529357/,Yes,No,,,,quest_query_data_social,Quest,29.99,45260,,,,,,,,,96,"The ultimate VR Golf experience and the official VR Golf game of the PGA TOUR!

**Available on QUEST 2, 3, and Pro**

&#x26f3;&#xfe0f; Iconic Courses: 3 Free courses and 15+ real-world destinations available for purchase including Pebble Beach.
&#x1f3cc;&#xfe0f; Multiplayer: Play with friends, or join public rounds.
&#x1f4c8; Performance Feedback: Stats, strokes gained data, and handicap system.
&#x1f3c6; Competitive Play: Compete on the GOLF+ TOUR.
&#x1f3af; Diverse Modes: Match Play to Skins, to weekly challenges and Topgolf Las Vegas.",,,,,,,,,,,,,,,
Star Trek: Bridge Crew,First,79,https://www.meta.com/en-gb/experiences/star-trek-bridge-crew/2507216576060698/,https://www.meta.com/en-gb/experiences/star-trek-bridge-crew/2507216576060698/,Yes,No,,,,quest_query_data_social,Quest,29.99,2177,,,,,,,,,58,"Das speziell f&#xfc;r VR entwickelte Spiel &#x201e;Star Trek: Bridge Crew&#x201c; versetzt Sie und Ihre Freunde in das Herz eines Raumschiffs, wo jede Aktion and jede Entscheidung, die ihr gemeinsam als Offiziere der F&#xf6;deration trefft, das Schicksal Ihres Schiffes und Ihrer Crew entscheidet.",,,,,,,,,,,,,,,
BIG SHOTS,First,80,https://www.meta.com/en-gb/experiences/big-shots/6621849171203339/,https://www.meta.com/en-gb/experiences/big-shots/6621849171203339/,Yes,No,,,,quest_query_data_social,Quest,19.99,47,,,,,,,,,82,"R&#xfc;stet euch aus, schlie&#xdf;t euch zusammen und vernichtet eure Gegner! Werde zum ultimativen Mech-Piloten in BIG SHOTS!",,,,,,,,,,,,,,,
Ghostbusters: Rise of the Ghost Lord,First,81,https://www.meta.com/en-gb/experiences/ghostbusters-rise-of-the-ghost-lord/4746232908818706/,https://www.meta.com/en-gb/experiences/ghostbusters-rise-of-the-ghost-lord/4746232908818706/,Yes,No,,,,quest_query_data_social,Quest,29.99,540,,,,,,,,,80,"WHO THEY GONNA CALL? YOU!

Schnall dein Proton-Pack um und erlebe mit Meta Quest, wie viel Spa&#xdf; und Nervenkitzel die Geisterjagd bringt!

WERDE EIN GHOSTBUSTER!
Benutze ikonisches Equipment wie den PKE Geisterschocker und den Protonen-Strahler, wenn du die Geister bei diesem ultimativen Kampf gegen eine entsetzliche neue Bedrohung findest, vernichtest und f&#xe4;ngst.

Ghostbusters &#x2122; &amp; &#xa9; 2023 Columbia Pictures Industries, Inc. All Rights Reserved.",,,,,,,,,,,,,,,
The Flip,First,82,https://www.meta.com/en-gb/experiences/the-flip/5419048904872022/,https://www.meta.com/en-gb/experiences/the-flip/5419048904872022/,Yes,No,,,,quest_query_data_social,Quest,24.99,73,,,,,,,,,90,"Schlie&#xdf; dich in The Flip, einem Koop-VR-Shooter in einer von Zombies &#xfc;berrannten Stadt, mit Freunden zu einem spannungsgeladenen Abenteuer zusammen. Finde Waffen und passe deinen Avatar an, w&#xe4;hrend du gegen Kreep und seine Monster um das &#xdc;berleben k&#xe4;mpfst. In The Flip, das f&#xfc;r gemeinsames Spielen und einen schnellen Einstieg konzipiert ist, trittst du mit bis zu vier Personen an und kannst jederzeit loslegen oder aufh&#xf6;ren. Dreh den Spie&#xdf; um und bek&#xe4;mpfe die Zombieapokalypse!",,,,,,,,,,,,,,,
ForeVR Pool,First,83,https://www.meta.com/en-gb/experiences/forevr-pool/4760607174068295/,https://www.meta.com/en-gb/experiences/forevr-pool/4760607174068295/,Yes,No,,,,quest_query_data_social,Quest,19.99,623,,,,,,,,,78,"Fordere Freunde, Familie und Profi-NSC zu einem 8-Ball-Billardspiel heraus! Hol dir die coolsten Poolbillard-Hallen der Welt direkt ins Wohnzimmer. 

Sei bereit: ZIELEN, FIXIEREN UND STOSSEN!

&#x1f3b1; 50 Queues und 5 Hallen
&#x1f3b1; Optional: Zielassistenten-Zielhilfe sowie Spieleinstellungen
&#x1f3b1; &#xd6;ffentliche und private 1-vs.-1-Mehrspielerpartien + Schnelles Spiel und lokales Reihum-Spiel
&#x1f3b1; Bald verf&#xfc;gbar: 2-vs.-2-Mehrspieler!
&#x1f3b1; 12 Profi-NSC warten auf deine Herausforderung!
&#x1f3b1; YouTube-Jukebox!",,,,,,,,,,,,,,,
Pararea,First,35,https://store.steampowered.com/app/671310/ParareaSocial_VR_for_Everyone_Beta/?snr=1_7_7_151_150_1,https://store.steampowered.com/app/671310/ParareaSocial_VR_for_Everyone_Beta/?snr=1_7_7_151_150_1,Yes,Yes,Yes,No,,steam_query_data_metaverse,Steam,,41,,,,,,,,,56%,,,,,,,,,,,,,,,,
Keep Talking and Nobody Explodes,First,85,https://www.meta.com/en-gb/experiences/keep-talking-and-nobody-explodes/2010043642376517/,https://www.meta.com/en-gb/experiences/keep-talking-and-nobody-explodes/2010043642376517/,Yes,No,,,,quest_query_data_social,Quest,14.99,563,,,,,,,,,90,"Du befindest dich alleine in einem Raum mit einer Bombe. Deine Freunde haben das Handbuch, um sie zu entsch&#xe4;rfen, aber sie k&#xf6;nnen die Bombe nicht sehen, also m&#xfc;sst ihr euch absprechen - und zwar schnell!  Dieses lokale Mehrspielerspiel erfordert zwei oder mehr Spieler. Es wird nur ein VR-Headset mit dem Spiel ben&#xf6;tigt.  Ein kostenloses Handbuch zur Bombenentsch&#xe4;rfung, das unter www.bombmanual.com/de verf&#xfc;gbar ist, wird ben&#xf6;tigt.",,,,,,,,,,,,,,,
Teleporter: World of Gamers (Alpha),First,53,https://teleporter.gg/,https://store.steampowered.com/app/1232510/Teleporter_World_of_Gamers_Alpha/?snr=1_7_7_151_150_2,Yes,Yes,Yes,Yes,,steam_query_data_vr_multiplayer,Steam,,56,56,-0.2683271859,968,-0.1945255187,-0.4628527045,,,,83%,,,,,,,,,,,,,,,,
Pararea,,85,http://www.pararea.com/,https://store.steampowered.com/app/671310/ParareaSocial_VR_for_Everyone_Beta/,Yes,Yes,Yes,No,Yes,Google search,Steam,Free,41,,,,,,,#N/A,,,,,,,,,,,,,,,,,,
Softspace,First,3,https://www.meta.com/en-gb/experiences/softspace/4586808061416562/,https://www.meta.com/en-gb/experiences/softspace/4586808061416562/,Yes,No,,,,quest_query_data_metaverse,Quest,0,74,,,,,,,,,68,"Softspace is an intuitive AR workspace where you lay out and organize notes, images, and websites. Connect related concepts, search the web for inspiration, and even get creative suggestions from our AI. This powerful productivity and creativity tool helps you develop the ideas at the heart of your best work.",,,,,,,,,,,,,,,
InSpaze,First,67,https://hellospace.group/,https://apps.apple.com/us/app/inspaze/id6473711864?platform=vision,Yes,Yes,Yes,No,Yes,Google search,Apple,Free,37,,,,,,,#N/A,,,,,,,,,,,,,,,,,,
Naer,First,77,https://www.meta.com/en-gb/experiences/naer/3758954627491820/,https://www.meta.com/en-gb/experiences/naer/3758954627491820/,Yes,Yes,Yes,No,,quest_query_data_metaverse,Quest,0,31,,,,,,,,,92,"Fun, focused workshops for hybrid working teams",,,,,,,,,,,,,,,
Hypatia,,70,,https://store.steampowered.com/app/401970/Hypatia/?snr=1_7_7_151_150_2,,Yes,,,,steam_query_data_vr_multiplayer,Steam,,52,,,,,,,,,71%,,,,,,,,,,,,,,,,
Spatial,,71,,https://www.oculus.com/experiences/quest/2927141310670477/,Yes,Yes,,,Quest,QuestDB,Quest,Free,555,,,,,,,"Social, Utilities",,,,,,,,,,,,,,,,,,
Mountain Study,First,8,https://www.meta.com/en-gb/experiences/5077315605654672,https://www.meta.com/en-gb/experiences/5077315605654672,No,,,,,quest_query_data_metaverse,Quest,,,,,,,,,,,74,,,,,,,,,,,,,,,,
Meta Horizon Terrace,First,9,https://www.meta.com/en-gb/experiences/23954694280811521,https://www.meta.com/en-gb/experiences/23954694280811521,No,,,,,quest_query_data_metaverse,Quest,,,,,,,,,,,100,,,,,,,,,,,,,,,,
Noclip VR,First,10,https://www.meta.com/en-gb/experiences/noclip-vr/5407386572706843/,https://www.meta.com/en-gb/experiences/noclip-vr/5407386572706843/,Yes,No,,,,quest_query_data_metaverse,Quest,0,5201,,,,,,,,,90,Noclip VR is a co-op multiplayer backrooms game with unique locomotion and gameplay. The horror game has many unique levels and entities from the backrooms.,,,,,,,,,,,,,,,
Just Another Cooking Game,First,11,https://www.meta.com/en-gb/experiences/just-another-cooking-game/6766207633442740/,https://www.meta.com/en-gb/experiences/just-another-cooking-game/6766207633442740/,Yes,No,,,,quest_query_data_metaverse,Quest,0,106,,,,,,,,,72,"Just Another Cooking Game is a time management game inspired by several other cooking games such as Overcooked and Cook-Out. 
JACG is also part of a PhD research project focused on understanding what factors enhance immersion and presence in VR games. 
Play the experience to unlock 12 more levels.
Cook Under Pressure and see if you can handle the heat!",,,,,,,,,,,,,,,
Horror,,12,https://www.meta.com/en-gb/experiences/horror/6904307006303740/,https://www.meta.com/en-gb/experiences/horror/6904307006303740/,Yes,No,,,,quest_query_data_metaverse,Quest,0,116,,,,,,,,,86,"&#x1f47b;Treten Sie Discord bei: https://discord.com/invite/UpFwwnV6PZ, um KOSTENLOSE SCHL&#xdc;SSEL f&#xfc;r das VOLLST&#xc4;NDIGE SPIEL zu gewinnen!&#x1f47b;

Ein VR-Horror- und R&#xe4;tselspiel, das Echtzeit-Voice-Chat und Online-Spiel f&#xfc;r zwei Spieler unterst&#xfc;tzt. Lass uns gemeinsam dieses mysteri&#xf6;se Einkaufszentrum betreten, die Geheimnisse aufdecken, die Wahrheit erforschen und die Angst und Aufregung des Unbekannten erleben. Z&#xf6;gern Sie nicht, sich mit uns auf eine wahre Reise des Grauens zu begeben!",,,,,,,,,,,,,,,
Masterpiece X,First,13,https://www.meta.com/en-gb/experiences/masterpiece-x/5502306219889537/,https://www.meta.com/en-gb/experiences/masterpiece-x/5502306219889537/,Yes,No,,,,quest_query_data_metaverse,Quest,0,45,,,,,,,,,64,"Simplify your 3D prototyping process! Create 3D models quickly and easily using VR and GenAI.

Designed for creativity, simplified for you:
- Jumpstart your 3D creation journey. No prior experience is needed.
- Say goodbye to complexity with our user-friendly interface.
- Use our text-to-3D generative AI to create prototype 3D assets with mesh, textures, and animations (human models only).

Embark on your 3D creation adventure &#x2013; Get Masterpiece X today and transform your ideas into reality!",,,,,,,,,,,,,,,
canVERSE,First,26,https://store.steampowered.com/app/1710720/canVERSE/?snr=1_7_7_151_150_1,https://store.steampowered.com/app/1710720/canVERSE/?snr=1_7_7_151_150_1,,Yes,No,No,,steam_query_data_metaverse,Steam,,25,,,,,,,,,68%,,,,,,,,,,,,,,,,
Yeeps: Hide and Seek,,73,https://www.meta.com/en-gb/experiences/yeeps-hide-and-seek/7276525889052788/,https://www.meta.com/en-gb/experiences/yeeps-hide-and-seek/7276525889052788/,Yes,Yes,,,,quest_query_data_metaverse,Quest,0,53273,,,,,,,,,98,"Yeeps: Hide and Seek takes the best movement VR has to offer and builds on it, literally! Your belly is full of stuffing used to craft anything from pillows for building to bombs for destruction. Pull items from your vast imagination and toss them into the world. The game&#x2019;s intuitive block-based building makes it easy to express your creativity at any skill level.",,,,,,,,,,,,,,,
Sail Single Player,First,16,https://www.meta.com/en-gb/experiences/sail-single-player/4092537967425323/,https://www.meta.com/en-gb/experiences/sail-single-player/4092537967425323/,Yes,No,,,,quest_query_data_metaverse,Quest,0,605,,,,,,,,,80,Open World VR Pirate Game - FREE Single Player Experience,,,,,,,,,,,,,,,
EmbodyMe,,69,https://embodyme.com/,https://store.steampowered.com/app/604530/EmbodyMe_Beta/?snr=1_7_7_151_150_2,,Yes,Yes,No,,steam_query_data_vr_multiplayer,Steam,,24,,,,,,,,,75%,,,,,,,,,,,,,,,,
Monkeys Place,,18,https://www.meta.com/en-gb/experiences/monkeys-place/6198284860201271/,https://www.meta.com/en-gb/experiences/monkeys-place/6198284860201271/,Yes,No,,,,quest_query_data_metaverse,Quest,0,1926,,,,,,,,,86,"Monkeys, Monkeys, Monkeys!
who doesnt like Monkeys? you do like Monkeys! so why not playing a with Love made game with your friends?
The game is currently in Alpha. so if you find any Bugs you can join the discord given in the game and report it.

Hope you have fun playing it!",,,,,,,,,,,,,,,
First Person Tennis - The Real Tennis Simulator,First,19,https://www.meta.com/en-gb/experiences/first-person-tennis-the-real-tennis-simulator/6119989094742166/,https://www.meta.com/en-gb/experiences/first-person-tennis-the-real-tennis-simulator/6119989094742166/,Yes,No,,,,quest_query_data_metaverse,Quest,22.99,1098,,,,,,,,,82,"Welcome to the First Person Tennis, the first tennis simulator developed for VR.

First Person Tennis uses the most innovative physics engine to reproduce the real tennis shots in VR. Thanks to the support of a big community and professional tennis players, the game is in an endless development to reach an incredible level of realism.  

First Person Tennis is for all ages and tennis players, the simulator has different levels of difficulty and options for any need.",,,,,,,,,,,,,,,
Mistika VR Connect,First,20,https://www.meta.com/en-gb/experiences/mistika-vr-connect/6042872962404291/,https://www.meta.com/en-gb/experiences/mistika-vr-connect/6042872962404291/,Yes,No,,,,quest_query_data_metaverse,Quest,0,14,,,,,,,,,68,"IMPORTANT: Mistika VR Connect is an add-on feature for Mistika VR.  To use it, you must connect the application with the host desktop version of Mistika VR. To learn more visit www.sgo.es/mistika-vr-connect 

Ready to take your immersive media creation to a whole new level? 

With Mistika VR Connect you&#x2019;re able to stitch 360&#xba;/180&#xba; VR media directly in Meta Quest 2 headset, using some of the most popular features of the industry&#x2019;s favorite optical flow stitching software Mistika VR.",,,,,,,,,,,,,,,
